epoch,split,loss,accuracy,precision,recall,f1,mcc,tp,fp,tn,fn
61,val,0.002424,0.999793,0.704191,0.26758,0.387802,0.434005,6956,2922,106321970,19040
62,train,0.000763,0.999824,0.66189,0.586703,0.622033,0.623076,61659,31497,424743065,43435
62,val,0.002298,0.999783,0.608532,0.323742,0.422638,0.44376,8416,5414,106319478,17580
63,train,0.000752,0.999825,0.664438,0.594829,0.62771,0.628584,62513,31571,424742991,42581
63,val,0.002303,0.999783,0.605752,0.32732,0.424993,0.445184,8509,5538,106319354,17487
64,train,0.000733,0.999829,0.669113,0.60542,0.635675,0.636385,63626,31464,424743098,41468
64,val,0.002406,0.999795,0.693898,0.291776,0.410811,0.449878,7585,3346,106321546,18411
65,train,0.000721,0.999831,0.675058,0.613632,0.642881,0.643529,64489,31042,424743520,40605
65,val,0.00236,0.999791,0.652087,0.314856,0.424665,0.453028,8185,4367,106320525,17811
66,train,0.000696,0.999835,0.679159,0.627505,0.652311,0.652739,65947,31154,424743408,39147
66,val,0.002443,0.999795,0.672218,0.318318,0.432047,0.462494,8275,4035,106320857,17721
67,train,0.000692,0.999835,0.680637,0.629551,0.654098,0.654514,66162,31044,424743518,38932
67,val,0.002364,0.999792,0.647402,0.328781,0.436094,0.461271,8547,4655,106320237,17449
68,train,0.000677,0.999838,0.685452,0.639646,0.661758,0.662073,67223,30848,424743714,37871
68,val,0.00232,0.999794,0.651904,0.339745,0.446692,0.470529,8832,4716,106320176,17164
69,train,0.000662,0.999841,0.690892,0.649752,0.669691,0.669927,68285,30551,424744011,36809
69,val,0.002403,0.999798,0.684038,0.321126,0.437068,0.468598,8348,3856,106321036,17648
70,train,0.000647,0.999844,0.695895,0.658801,0.67684,0.677016,69236,30256,424744306,35858
70,val,0.002494,0.999798,0.695318,0.313048,0.431724,0.466468,8138,3566,106321326,17858
71,train,0.000638,0.999846,0.697768,0.662074,0.679452,0.679609,69580,30138,424744424,35514
71,val,0.002457,0.999796,0.672157,0.324935,0.438088,0.467255,8447,4120,106320772,17549
72,train,0.000627,0.999847,0.69893,0.669382,0.683837,0.68392,70348,30303,424744259,34746
72,val,0.002484,0.999797,0.673329,0.335629,0.447964,0.475297,8725,4233,106320659,17271
73,train,0.000617,0.999849,0.703265,0.67609,0.68941,0.689468,71053,29980,424744582,34041
73,val,0.002505,0.999799,0.69295,0.319472,0.437324,0.470426,8305,3680,106321212,17691
74,train,0.000601,0.999852,0.708286,0.68238,0.695092,0.695138,71714,29536,424745026,33380
74,val,0.002445,0.999793,0.638445,0.362594,0.462512,0.481049,9426,5338,106319554,16570
75,train,0.000589,0.999855,0.710712,0.693988,0.702251,0.702228,72934,29687,424744875,32160
75,val,0.002464,0.999801,0.694485,0.332282,0.449498,0.480297,8638,3800,106321092,17358
76,train,0.000579,0.999857,0.716719,0.698974,0.707736,0.70772,73458,29034,424745528,31636
76,val,0.002403,0.999793,0.634449,0.363864,0.462486,0.480379,9459,5450,106319442,16537
77,train,0.000563,0.99986,0.719779,0.707253,0.713461,0.713418,74328,28937,424745625,30766
77,val,0.002468,0.999798,0.656581,0.362287,0.466931,0.487631,9418,4926,106319966,16578
78,train,0.000554,0.999862,0.725068,0.712829,0.718896,0.718853,74914,28406,424746156,30180
78,val,0.002454,0.9998,0.66856,0.357709,0.466057,0.488942,9299,4610,106320282,16697
79,train,0.00054,0.999865,0.728519,0.722315,0.725404,0.725343,75911,28288,424746274,29183
79,val,0.002533,0.999801,0.671855,0.361979,0.470476,0.493064,9410,4596,106320296,16586
80,train,0.00054,0.999865,0.729373,0.722315,0.725827,0.725768,75911,28166,424746396,29183
80,val,0.002449,0.999801,0.666805,0.371519,0.477174,0.497638,9658,4826,106320066,16338
81,train,0.000526,0.999867,0.733008,0.728196,0.730594,0.730532,76529,27875,424746687,28565
81,val,0.002465,0.9998,0.660118,0.379982,0.482324,0.500743,9878,5086,106319806,16118
82,train,0.00051,0.999871,0.740161,0.740147,0.740154,0.74009,77785,27307,424747255,27309
82,val,0.002628,0.999803,0.683286,0.363748,0.474758,0.498457,9456,4383,106320509,16540
83,train,0.000508,0.999872,0.740532,0.741222,0.740877,0.740813,77898,27294,424747268,27196
83,val,0.002533,0.999801,0.67297,0.364133,0.472568,0.494939,9466,4600,106320292,16530
84,train,0.000498,0.999874,0.74558,0.747616,0.746597,0.746535,78570,26811,424747751,26524
84,val,0.0024,0.999792,0.611956,0.407178,0.488994,0.499076,10585,6712,106318180,15411
85,train,0.000484,0.999877,0.750144,0.757046,0.753579,0.753526,79561,26500,424748062,25533
